user,input_code,model_a,model_b,winner,is_strong,juiceOptions,juiceOtherReason
R_2kiXagS7ppvrzbJ,1_wayne_0_4_4,BEAT2,BEAT2_Mismatched,model_a,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts"", ""BetterMatchContentMeaning""]",
R_2kiXagS7ppvrzbJ,23_hailing_0_103_103,BEAT2_Mismatched,BEAT2,model_b,False,"[""FitRhythmTiming"", ""BetterFitForEmotion""]",
R_2kiXagS7ppvrzbJ,16_jorge_0_1_1,adapter,adapter_Mismatched,model_a,True,"[""FitRhythmTiming"", ""BetterMatchContentMeaning"", ""BetterFitForEmotion""]",
R_2kiXagS7ppvrzbJ,6_carla_0_73_73,adapter,adapter_Mismatched,model_b,True,"[""EmphasizeCorrectParts"", ""BetterMatchContentMeaning"", ""BetterFitForEmotion""]",
R_2kiXagS7ppvrzbJ,6_carla_0_87_87,adapter,adapter_Mismatched,model_b,False,"[""FitRhythmTiming"", ""BetterMatchContentMeaning""]",
R_2kiXagS7ppvrzbJ,27_yingqing_0_1_1,adapter_Mismatched,adapter,model_a,False,"[""FitRhythmTiming"", ""BetterMatchContentMeaning"", ""BetterFitForEmotion""]",
R_28SyVCWpsf3LQRt,16_jorge_0_103_103,adapter,adapter_Mismatched,model_a,False,"[""FitRhythmTiming"", ""BetterFitForEmotion""]",
R_28SyVCWpsf3LQRt,10_kieks_0_73_73,BEAT2,BEAT2_Mismatched,model_a,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts"", ""BetterMatchContentMeaning"", ""BetterFitForEmotion""]",
R_28SyVCWpsf3LQRt,1_wayne_0_6_6,adapter_Mismatched,adapter,model_a,False,"[""FitRhythmTiming"", ""EmphasizeCorrectParts"", ""BetterFitForEmotion""]",
R_28SyVCWpsf3LQRt,11_nidal_0_111_111,EMAGE_Mismatched,EMAGE,model_b,False,"[""BetterMatchContentMeaning""]",
R_28SyVCWpsf3LQRt,16_jorge_0_103_103,BEAT2_Mismatched,BEAT2,model_b,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts"", ""BetterMatchContentMeaning"", ""BetterFitForEmotion""]",
R_28SyVCWpsf3LQRt,4_lawrence_0_95_95,adapter_Mismatched,adapter,model_a,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts"", ""BetterMatchContentMeaning"", ""BetterFitForEmotion""]",
R_8jEYCqQ5jdGLNgB,28_tiffnay_0_73_73,BEAT2,BEAT2_Mismatched,model_a,False,"[""BetterFitForEmotion""]",
R_8jEYCqQ5jdGLNgB,1_wayne_0_65_65,adapter_Mismatched,adapter,model_a,False,"[""BetterMatchContentMeaning"", ""BetterFitForEmotion""]",
R_8jEYCqQ5jdGLNgB,2_scott_0_7_7,adapter,adapter_Mismatched,tie,False,"[""FitRhythmTiming""]",
R_8jEYCqQ5jdGLNgB,6_carla_0_73_73,EMAGE,EMAGE_Mismatched,model_b,False,"[""FitRhythmTiming"", ""EmphasizeCorrectParts""]",
R_8jEYCqQ5jdGLNgB,2_scott_0_1_1,EMAGE,EMAGE_Mismatched,model_a,True,"[""FitRhythmTiming"", ""BetterMatchContentMeaning""]",
R_8jEYCqQ5jdGLNgB,2_scott_0_3_3,EMAGE,EMAGE_Mismatched,model_a,False,"[""BetterMatchContentMeaning""]",
R_8GCX14nyepjCVX3,22_luqi_0_87_87,adapter,adapter_Mismatched,model_a,False,"[""EmphasizeCorrectParts"", ""BetterMatchContentMeaning""]",
R_8GCX14nyepjCVX3,22_luqi_0_103_103,EMAGE_Mismatched,EMAGE,model_b,False,"[""BetterFitForEmotion""]",
R_8GCX14nyepjCVX3,2_scott_0_3_3,BEAT2_Mismatched,BEAT2,model_b,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts"", ""BetterMatchContentMeaning""]",
R_8GCX14nyepjCVX3,4_lawrence_0_65_65,BEAT2_Mismatched,BEAT2,model_b,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts"", ""BetterMatchContentMeaning""]",
R_8GCX14nyepjCVX3,1_wayne_0_73_73,EMAGE,EMAGE_Mismatched,tie,False,[],Both not compatible with speech
R_8GCX14nyepjCVX3,3_solomon_0_2_2,adapter_Mismatched,adapter,model_a,False,"[""BetterMatchContentMeaning""]",
R_23keCXBbcLa1v7w,2_scott_0_65_65,EMAGE_Mismatched,EMAGE,model_a,False,"[""FitRhythmTiming"", ""EmphasizeCorrectParts"", ""BetterMatchContentMeaning""]",
R_23keCXBbcLa1v7w,1_wayne_0_65_65,EMAGE,EMAGE_Mismatched,model_a,True,"[""FitRhythmTiming"", ""BetterMatchContentMeaning""]",
R_23keCXBbcLa1v7w,1_wayne_0_73_73,adapter_Mismatched,adapter,model_b,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts"", ""BetterFitForEmotion""]",
R_23keCXBbcLa1v7w,4_lawrence_0_95_95,EMAGE_Mismatched,EMAGE,model_a,False,"[""FitRhythmTiming"", ""BetterMatchContentMeaning""]",
R_23keCXBbcLa1v7w,7_sophie_0_8_8,BEAT2_Mismatched,BEAT2,model_a,False,"[""FitRhythmTiming"", ""EmphasizeCorrectParts"", ""BetterFitForEmotion""]",
R_23keCXBbcLa1v7w,10_kieks_0_95_95,BEAT2,BEAT2_Mismatched,model_a,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts"", ""BetterMatchContentMeaning"", ""BetterFitForEmotion""]",
R_2dxLCvlWiclZTKm,27_yingqing_0_65_65,EMAGE,EMAGE_Mismatched,tie,False,"[""EmphasizeCorrectParts""]",
R_2dxLCvlWiclZTKm,16_jorge_0_103_103,EMAGE,EMAGE_Mismatched,tie,False,[],The movements both did not help the story 
R_2dxLCvlWiclZTKm,1_wayne_0_4_4,adapter,adapter_Mismatched,model_a,False,"[""EmphasizeCorrectParts""]",
R_2dxLCvlWiclZTKm,6_carla_0_87_87,EMAGE_Mismatched,EMAGE,model_b,False,"[""EmphasizeCorrectParts""]",
R_2dxLCvlWiclZTKm,5_stewart_0_8_8,EMAGE,EMAGE_Mismatched,model_b,False,"[""BetterMatchContentMeaning""]",
R_2dxLCvlWiclZTKm,2_scott_0_111_111,adapter_Mismatched,adapter,model_a,False,"[""EmphasizeCorrectParts""]",
R_2Crm9n3Bqr68zpI,22_luqi_0_103_103,BEAT2,BEAT2_Mismatched,model_b,False,"[""FitRhythmTiming"", ""EmphasizeCorrectParts""]",
R_2Crm9n3Bqr68zpI,10_kieks_0_73_73,adapter,adapter_Mismatched,model_a,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts"", ""BetterFitForEmotion""]",
R_2Crm9n3Bqr68zpI,2_scott_0_2_2,BEAT2,BEAT2_Mismatched,model_a,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts""]",
R_2Crm9n3Bqr68zpI,11_nidal_0_81_81,BEAT2,BEAT2_Mismatched,model_a,False,"[""FitRhythmTiming""]",
R_2Crm9n3Bqr68zpI,10_kieks_0_5_5,EMAGE,EMAGE_Mismatched,tie,False,[],Both don't seem to find to me
R_2Crm9n3Bqr68zpI,6_carla_0_103_103,EMAGE_Mismatched,EMAGE,model_b,True,"[""FitRhythmTiming"", ""BetterFitForEmotion""]",
R_2q8LVE5G07w6uy3,22_luqi_0_73_73,EMAGE_Mismatched,EMAGE,model_b,False,"[""BetterMatchContentMeaning""]",
R_2q8LVE5G07w6uy3,1_wayne_0_81_81,adapter,adapter_Mismatched,tie,False,"[""BetterFitForEmotion""]",
R_2q8LVE5G07w6uy3,5_stewart_0_65_65,EMAGE_Mismatched,EMAGE,model_b,False,"[""FitRhythmTiming"", ""EmphasizeCorrectParts""]",
R_2q8LVE5G07w6uy3,6_carla_0_87_87,BEAT2_Mismatched,BEAT2,model_b,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts""]",
R_2q8LVE5G07w6uy3,27_yingqing_0_103_103,BEAT2,BEAT2_Mismatched,model_a,False,"[""FitRhythmTiming"", ""EmphasizeCorrectParts"", ""BetterMatchContentMeaning""]",
R_2q8LVE5G07w6uy3,7_sophie_0_73_73,EMAGE_Mismatched,EMAGE,model_a,False,"[""EmphasizeCorrectParts"", ""BetterFitForEmotion""]",
R_8KxWcXo4Cf7PvWi,1_wayne_0_4_4,BEAT2,BEAT2_Mismatched,model_a,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts"", ""BetterMatchContentMeaning"", ""BetterFitForEmotion""]",
R_8KxWcXo4Cf7PvWi,23_hailing_0_103_103,BEAT2_Mismatched,BEAT2,model_b,False,"[""FitRhythmTiming"", ""EmphasizeCorrectParts""]",
R_8KxWcXo4Cf7PvWi,16_jorge_0_1_1,adapter,adapter_Mismatched,model_a,False,"[""FitRhythmTiming""]",
R_8KxWcXo4Cf7PvWi,6_carla_0_73_73,adapter,adapter_Mismatched,model_a,False,"[""EmphasizeCorrectParts"", ""BetterFitForEmotion""]",
R_8KxWcXo4Cf7PvWi,6_carla_0_87_87,adapter,adapter_Mismatched,model_a,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts"", ""BetterMatchContentMeaning""]",
R_8KxWcXo4Cf7PvWi,27_yingqing_0_1_1,adapter_Mismatched,adapter,tie,False,[],In both videos the gestures appear too wild for the speech (emotion and rhythm)
R_8fZhBZtRjKkQS8P,28_tiffnay_0_81_81,adapter_Mismatched,adapter,tie,False,[],The same
R_8fZhBZtRjKkQS8P,7_sophie_0_111_111,adapter_Mismatched,adapter,model_a,False,"[""FitRhythmTiming""]",
