user,input_code,model_a,model_b,winner,is_strong,juiceOptions,juiceOtherReason
R_2kiXagS7ppvrzbJ,11_nidal_0_73_73,adapter,EMAGE,model_b,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_2kiXagS7ppvrzbJ,2_scott_0_65_65,adapter,BEAT2,model_b,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_2kiXagS7ppvrzbJ,10_kieks_0_8_8,EMAGE,adapter,model_a,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_2kiXagS7ppvrzbJ,28_tiffnay_0_2_2,EMAGE,BEAT2,model_b,True,"[""MotionSmoothness""]",
R_2kiXagS7ppvrzbJ,1_wayne_0_87_87,BEAT2,EMAGE,model_a,False,"[""MotionSmoothness"", ""RecognisableGestures""]",Left is less exaggerated 
R_2kiXagS7ppvrzbJ,6_carla_0_103_103,BEAT2,EMAGE,model_a,True,"[""UnrealisticMotion"", ""MotionSmoothness"", ""RecognisableGestures""]",
R_28SyVCWpsf3LQRt,7_sophie_0_8_8,adapter,EMAGE,model_b,True,"[""MotionSmoothness"", ""RecognisableGestures""]",
R_28SyVCWpsf3LQRt,5_stewart_0_8_8,BEAT2,adapter,tie,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
R_28SyVCWpsf3LQRt,2_scott_0_7_7,BEAT2,EMAGE,model_a,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_28SyVCWpsf3LQRt,1_wayne_0_3_3,adapter,BEAT2,model_b,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_28SyVCWpsf3LQRt,1_wayne_0_65_65,adapter,EMAGE,model_a,False,"[""UnrealisticMotion"", ""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_28SyVCWpsf3LQRt,2_scott_0_65_65,EMAGE,BEAT2,model_a,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
R_8jEYCqQ5jdGLNgB,22_luqi_0_73_73,BEAT2,EMAGE,model_b,False,"[""MotionSmoothness"", ""RecognisableGestures""]",
R_8jEYCqQ5jdGLNgB,2_scott_0_8_8,adapter,BEAT2,model_a,False,"[""AmountIntensityOfMotion""]",
R_8jEYCqQ5jdGLNgB,22_luqi_0_95_95,BEAT2,EMAGE,model_b,False,[],Positioning of the upper body
R_8jEYCqQ5jdGLNgB,23_hailing_0_111_111,BEAT2,EMAGE,tie,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
R_8jEYCqQ5jdGLNgB,11_nidal_0_81_81,BEAT2,adapter,tie,False,"[""MotionSmoothness""]",
R_8jEYCqQ5jdGLNgB,4_lawrence_0_87_87,EMAGE,BEAT2,model_b,False,"[""AmountIntensityOfMotion""]",
R_8GCX14nyepjCVX3,11_nidal_0_3_3,EMAGE,adapter,model_a,False,"[""AmountIntensityOfMotion""]",
R_8GCX14nyepjCVX3,11_nidal_0_81_81,EMAGE,BEAT2,tie,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_8GCX14nyepjCVX3,2_scott_0_2_2,BEAT2,EMAGE,model_a,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_8GCX14nyepjCVX3,5_stewart_0_7_7,adapter,EMAGE,tie,False,"[""MotionSmoothness""]",
R_8GCX14nyepjCVX3,3_solomon_0_111_111,BEAT2,EMAGE,model_a,False,"[""AmountIntensityOfMotion""]",
R_8GCX14nyepjCVX3,23_hailing_0_81_81,adapter,BEAT2,model_b,True,"[""RecognisableGestures""]",
R_23keCXBbcLa1v7w,7_sophie_0_8_8,EMAGE,BEAT2,model_b,False,"[""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_23keCXBbcLa1v7w,4_lawrence_0_65_65,BEAT2,EMAGE,model_b,True,"[""AmountIntensityOfMotion""]",The left video is too much motion as I see it
R_23keCXBbcLa1v7w,16_jorge_0_103_103,adapter,EMAGE,model_b,True,"[""UnrealisticMotion"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",the left one has little veriety in motions
R_23keCXBbcLa1v7w,4_lawrence_0_81_81,adapter,EMAGE,model_b,True,"[""AmountIntensityOfMotion""]",the left video has little veriety in the motions of the hands
R_23keCXBbcLa1v7w,5_stewart_0_65_65,BEAT2,EMAGE,model_b,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
R_23keCXBbcLa1v7w,22_luqi_0_103_103,adapter,BEAT2,model_b,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_2dxLCvlWiclZTKm,28_tiffnay_0_73_73,BEAT2,adapter,model_a,True,"[""MotionSmoothness""]",
R_2dxLCvlWiclZTKm,23_hailing_0_95_95,adapter,BEAT2,model_b,True,"[""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_2dxLCvlWiclZTKm,11_nidal_0_3_3,BEAT2,adapter,model_b,True,"[""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_2dxLCvlWiclZTKm,3_solomon_0_5_5,adapter,BEAT2,model_b,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_2dxLCvlWiclZTKm,2_scott_0_1_1,adapter,BEAT2,model_b,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
R_2dxLCvlWiclZTKm,2_scott_0_87_87,EMAGE,BEAT2,model_b,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
R_2Crm9n3Bqr68zpI,2_scott_0_3_3,EMAGE,BEAT2,model_b,False,"[""MotionSmoothness""]",
R_2Crm9n3Bqr68zpI,6_carla_0_87_87,BEAT2,adapter,model_a,True,"[""MotionSmoothness""]",
R_2Crm9n3Bqr68zpI,4_lawrence_0_87_87,EMAGE,adapter,model_a,False,[],The symmetry in the movement of the right video felt unnatural
R_2Crm9n3Bqr68zpI,1_wayne_0_2_2,EMAGE,BEAT2,model_b,False,[],I like the stance more
R_2Crm9n3Bqr68zpI,22_luqi_0_103_103,BEAT2,EMAGE,tie,False,"[""UnrealisticMotion""]",Part underneath torso feel unnaturally static
R_2Crm9n3Bqr68zpI,16_jorge_0_2_2,adapter,EMAGE,model_b,True,[],Less symmetry feels more natural
R_2q8LVE5G07w6uy3,7_sophie_0_8_8,EMAGE,BEAT2,model_b,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_2q8LVE5G07w6uy3,4_lawrence_0_65_65,BEAT2,EMAGE,tie,False,"[""AmountIntensityOfMotion""]",Fingers are very far apart for left video
R_2q8LVE5G07w6uy3,16_jorge_0_103_103,adapter,EMAGE,model_b,True,"[""AmountIntensityOfMotion""]",Fingers move too much in left video
R_2q8LVE5G07w6uy3,4_lawrence_0_81_81,adapter,EMAGE,model_b,True,"[""AmountIntensityOfMotion""]",
R_2q8LVE5G07w6uy3,5_stewart_0_65_65,BEAT2,EMAGE,model_a,True,"[""MotionSmoothness""]",
R_2q8LVE5G07w6uy3,22_luqi_0_103_103,adapter,BEAT2,model_b,False,"[""UnrealisticMotion"", ""AmountIntensityOfMotion""]",
R_8KxWcXo4Cf7PvWi,11_nidal_0_73_73,adapter,EMAGE,model_b,False,"[""MotionSmoothness"", ""RecognisableGestures""]","The video on the left has a lot of finger twitching. In my opinion this does happen in real life, but not as mirrored between the right and left hand and generally not as much."
R_8KxWcXo4Cf7PvWi,2_scott_0_65_65,adapter,BEAT2,model_b,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",It feels more natural that the right and left arm are not mirroring each other on the right
R_8KxWcXo4Cf7PvWi,10_kieks_0_8_8,EMAGE,adapter,model_a,False,"[""UnrealisticMotion"", ""RecognisableGestures""]",
R_8KxWcXo4Cf7PvWi,28_tiffnay_0_2_2,EMAGE,BEAT2,model_a,False,[],Both videos seem realistic but the way the fingers are spread in the right video seems less human like (they also seem longer than on the left)
R_8KxWcXo4Cf7PvWi,1_wayne_0_87_87,BEAT2,EMAGE,model_a,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
R_8KxWcXo4Cf7PvWi,6_carla_0_103_103,BEAT2,EMAGE,model_b,False,"[""UnrealisticMotion"", ""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]","The right has a glitch which would make the left better, but the over all gestures on the right feel more natural to me because of the intensity and the fingers are less widely spread (this feels unnatural on the left)"
R_8fZhBZtRjKkQS8P,11_nidal_0_3_3,BEAT2,EMAGE,model_b,False,"[""AmountIntensityOfMotion""]",
R_8fZhBZtRjKkQS8P,22_luqi_0_87_87,BEAT2,EMAGE,model_b,False,"[""RecognisableGestures""]",
R_8fZhBZtRjKkQS8P,28_tiffnay_0_2_2,adapter,EMAGE,tie,False,[],Equal
R_8fZhBZtRjKkQS8P,16_jorge_0_2_2,BEAT2,EMAGE,model_b,False,"[""MotionSmoothness""]",
R_8fZhBZtRjKkQS8P,27_yingqing_0_1_1,adapter,EMAGE,model_b,False,"[""RecognisableGestures""]",
R_8fZhBZtRjKkQS8P,5_stewart_0_103_103,EMAGE,adapter,model_a,False,"[""RecognisableGestures""]",
R_2IzR3mfJyWQ52zQ,27_yingqing_0_65_65,EMAGE,BEAT2,model_a,False,"[""MotionSmoothness""]",
R_2IzR3mfJyWQ52zQ,7_sophie_0_8_8,adapter,BEAT2,model_b,False,"[""RecognisableGestures""]",
R_2IzR3mfJyWQ52zQ,4_lawrence_0_95_95,EMAGE,adapter,tie,False,"[""UnrealisticMotion""]",
R_2IzR3mfJyWQ52zQ,16_jorge_0_103_103,EMAGE,BEAT2,model_b,True,"[""MotionSmoothness""]",
R_2IzR3mfJyWQ52zQ,22_luqi_0_73_73,adapter,EMAGE,tie,False,"[""AmountIntensityOfMotion""]",
R_2IzR3mfJyWQ52zQ,3_solomon_0_5_5,adapter,EMAGE,model_a,False,"[""MotionSmoothness""]",
R_80Yan1aN0MhDxHn,22_luqi_0_73_73,BEAT2,EMAGE,model_b,False,"[""RecognisableGestures""]",
R_80Yan1aN0MhDxHn,2_scott_0_8_8,adapter,BEAT2,model_b,False,"[""RecognisableGestures""]",
R_80Yan1aN0MhDxHn,22_luqi_0_95_95,BEAT2,EMAGE,model_a,False,"[""RecognisableGestures""]",
R_80Yan1aN0MhDxHn,23_hailing_0_111_111,BEAT2,EMAGE,model_a,True,"[""MotionSmoothness"", ""RecognisableGestures""]",
R_80Yan1aN0MhDxHn,11_nidal_0_81_81,BEAT2,adapter,model_a,True,"[""RecognisableGestures""]",
R_80Yan1aN0MhDxHn,4_lawrence_0_87_87,EMAGE,BEAT2,model_a,False,"[""RecognisableGestures""]",
R_868ST5ouGw3RwUb,10_kieks_0_95_95,adapter,BEAT2,model_b,True,[],More natural gestures
R_868ST5ouGw3RwUb,28_tiffnay_0_81_81,EMAGE,adapter,model_a,True,[],
R_868ST5ouGw3RwUb,27_yingqing_0_103_103,BEAT2,EMAGE,model_a,True,[],the face is more directly looking directly in the eyes
R_868ST5ouGw3RwUb,27_yingqing_0_73_73,adapter,EMAGE,model_a,True,[],position of the head: lips must be readable
R_868ST5ouGw3RwUb,11_nidal_0_81_81,adapter,EMAGE,model_b,True,"[""RecognisableGestures""]",
R_868ST5ouGw3RwUb,16_jorge_0_65_65,adapter,EMAGE,tie,False,"[""AmountIntensityOfMotion""]",
R_8KcYieCU9V4pg6W,11_nidal_0_3_3,EMAGE,adapter,model_b,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
R_8KcYieCU9V4pg6W,11_nidal_0_81_81,EMAGE,BEAT2,model_a,True,"[""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_8KcYieCU9V4pg6W,2_scott_0_2_2,BEAT2,EMAGE,model_a,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_8KcYieCU9V4pg6W,5_stewart_0_7_7,adapter,EMAGE,model_a,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
R_8KcYieCU9V4pg6W,3_solomon_0_111_111,BEAT2,EMAGE,model_a,True,"[""MotionSmoothness"", ""RecognisableGestures""]",
R_8KcYieCU9V4pg6W,23_hailing_0_81_81,adapter,BEAT2,model_b,True,"[""UnrealisticMotion"", ""MotionSmoothness"", ""RecognisableGestures""]",
R_2G6ZsF0eRh7UbrW,28_tiffnay_0_73_73,BEAT2,adapter,tie,False,"[""UnrealisticMotion""]",
R_2G6ZsF0eRh7UbrW,23_hailing_0_95_95,adapter,BEAT2,model_b,False,"[""AmountIntensityOfMotion""]",intensiteit van bewegen ligt ook aan emotie
R_2G6ZsF0eRh7UbrW,11_nidal_0_3_3,BEAT2,adapter,tie,False,[],idem vorige film
R_2G6ZsF0eRh7UbrW,3_solomon_0_5_5,adapter,BEAT2,model_b,True,"[""AmountIntensityOfMotion""]",
R_2G6ZsF0eRh7UbrW,2_scott_0_1_1,adapter,BEAT2,tie,False,[],ligt weer aan hoe intens de emotie /boodschap is
R_2G6ZsF0eRh7UbrW,2_scott_0_87_87,EMAGE,BEAT2,tie,False,[],idem vorige film:intensiteit boodschap
R_8cRLaMw18ykX8Lq,4_lawrence_0_81_81,adapter,BEAT2,model_b,False,[],better differentiation of movements; more asymetric too
R_8cRLaMw18ykX8Lq,27_yingqing_0_103_103,BEAT2,adapter,model_a,False,[],not only symetric movements
R_8cRLaMw18ykX8Lq,22_luqi_0_95_95,EMAGE,adapter,model_a,False,[],better diffentiation of movements
R_8cRLaMw18ykX8Lq,5_stewart_0_7_7,EMAGE,BEAT2,model_b,False,[],"movements seem more purpose full, more goal- oriented"
R_8cRLaMw18ykX8Lq,1_wayne_0_4_4,EMAGE,BEAT2,model_a,False,[],"differentiation of the movements of the hands, and the other movements "
R_8cRLaMw18ykX8Lq,3_solomon_0_111_111,adapter,EMAGE,model_b,False,[],better differentiation of movements
R_8ErRHlRqji1qqK8,2_scott_0_3_3,EMAGE,BEAT2,model_a,True,"[""MotionSmoothness""]",
R_8ErRHlRqji1qqK8,6_carla_0_87_87,BEAT2,adapter,model_a,True,"[""MotionSmoothness"", ""RecognisableGestures""]",
R_8ErRHlRqji1qqK8,4_lawrence_0_87_87,EMAGE,adapter,model_b,True,"[""MotionSmoothness""]",
R_8ErRHlRqji1qqK8,1_wayne_0_2_2,EMAGE,BEAT2,model_b,False,"[""RecognisableGestures""]",
R_8ErRHlRqji1qqK8,22_luqi_0_103_103,BEAT2,EMAGE,tie,False,"[""UnrealisticMotion""]",
R_8ErRHlRqji1qqK8,16_jorge_0_2_2,adapter,EMAGE,tie,False,"[""MotionSmoothness""]",
R_2MKcrxXXBJYr3sl,1_wayne_0_73_73,BEAT2,adapter,tie,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",the type of gesture (extravert (left) vs introvert (right)
R_2MKcrxXXBJYr3sl,5_stewart_0_65_65,adapter,BEAT2,model_b,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
